Ingredient,Price
Grøntsager,16
Kartofler,67
Squash,79
Avocado,37
Aubergine,18
Spinat,14
Kål,91
Rodfrugter,55
Græskar,29
Broccoli,62
Peberfrugt,26
Tomater,47
Porrer,73
Bønner,86
Ramsløg,84
Asparges,34
Svampe,92
Agurk,15
Fennikel,88
Blomkål,30
Ost,29
Rygeost,27
Hytteost,41
Chili,22
Frugt,30
Hyldeblomst,43
Rabarber,26
Bær,74
Melon,32
Marmelade,51
Pærer,16
Ananas,24
Bananer,52
Mango,15
Æbler,13
Blommer,55
Appelsin,70
Granatæble,98
Fjerkræ,62
Kylling,31
And,50
Kalkun,87
Krydderurter,9
Mynte,22
Basilikum,66
Persille,29
Quinoa,6
Ingefær,71
Skyr,93
Laks,49
Torsk,66
Tun,64
Hellefisk,94
Skaldyr,99
Makrel,26
Fiskesuppe,18
Rødspætter,75
Stenbiderrogn,81
Pasta,104
Spaghetti,79
Pastasalat,26
Lakrids,49
Couscous,45
Nutella,47
Oksekød,10
Svinekød,27
Lam,76
Mørbrad,110
Vildt,5
Pølser,19
Kødsovs,37
Koteletter,47
Kalvekød,28
Bacon,77
Kødboller,47
Æg,30
Æggekage,23
Omelet,34
Røræg,100
Spejlæg,43
Æggesalat,57
Æggemuffins,49
Risretter,86
Risotto,94
Edamamebønner,107
Kikærter,56
Smør,44
Vand,50
Salt,35
Sukker,28
Løg,77
Paprika,110
Tomatpuré,84
Mælk,18
Fløde,43
Peber,36
Purløg,74
Ærter,30
Hvidløg,29
Olie,87
Hakkede tomater,15
Oregano,17
Timian,16
Rosmarin,28
Chiliflager,107
Parmesanost,29
Frisk Basilikum,52
Søde kartofler,
Rødløg,
Revet cheddarost,
Creme fraiche,
Limefrugt,
Avocadoer,
