Ingredient,Kcal
Grøntsager,12
Kartofler,110
Squash,77
Avocado,52
Aubergine,25
Spinat,101
Kål,87
Rodfrugter,31
Græskar,99
Broccoli,40
Peberfrugt,91
Tomater,15
Porrer,9
Bønner,11
Ramsløg,84
Asparges,96
Svampe,91
Agurk,69
Fennikel,19
Blomkål,30
Ost,47
Rygeost,108
Hytteost,24
Chili,95
Frugt,41
Hyldeblomst,101
Rabarber,32
Bær,38
Melon,25
Marmelade,75
Pærer,95
Ananas,82
Bananer,54
Mango,42
Æbler,53
Blommer,61
Appelsin,108
Granatæble,66
Fjerkræ,17
Kylling,42
And,90
Kalkun,48
Krydderurter,18
Mynte,50
Basilikum,10
Persille,46
Quinoa,81
Ingefær,75
Skyr,50
Laks,51
Torsk,100
Tun,47
Hellefisk,39
Skaldyr,92
Makrel,48
Fiskesuppe,36
Rødspætter,98
Stenbiderrogn,70
Pasta,35
Spaghetti,108
Pastasalat,67
Lakrids,59
Couscous,98
Nutella,62
Oksekød,69
Svinekød,46
Lam,29
Mørbrad,21
Vildt,45
Pølser,40
Kødsovs,110
Koteletter,52
Kalvekød,61
Bacon,11
Kødboller,110
Æg,109
Æggekage,80
Omelet,88
Røræg,54
Spejlæg,100
Æggesalat,6
Æggemuffins,23
Risretter,81
Risotto,12
Edamamebønner,22
Kikærter,51
Smør,53
Vand,83
Salt,52
Sukker,37
Løg,80
Paprika,80
Tomatpuré,81
Mælk,35
Fløde,53
Peber,84
Purløg,102
Ærter,43
Hvidløg,93
Olie,46
Hakkede tomater,82
Oregano,53
Timian,97
Rosmarin,42
Chiliflager,108
Parmesanost,40
Frisk Basilikum,86
Søde kartofler,84
Rødløg,96
Revet cheddarost,41
Creme fraiche,53
Limefrugt,94
Avocadoer,25
Kyllingefond,20
Sojasauce,48
Riseddike,97
Hoisinsauce,45
Sesamolie,23
Majsstivelse,75
Chilipulver,62
Frisk chili,70
Kyllingeinderfilet,20
Gulerødder,7
Grønne bønner,80
Champignoner,9
Ris,99
